GameName,Id:76561198265088797
Terraria,339
Geometry Dash,304
Plague Inc: Evolved,194
Counter-Strike: Global Offensive,148
Garry's Mod,107
Don't Starve,65
Oxygen Not Included,43
Portal,35
Borderlands 2,28
Half-Life 2,27
Don't Starve Together,26
Portal 2,19.0
Cities: Skylines,10.7
Portal Stories: Mel,9.2
Counter-Strike: Source,6.6
Synergy,5.9
Left 4 Dead,5.0
Half-Life 2: Episode One,4.8
Half-Life 2: Episode Two,4.3
Blender,4.0
Entropy : Zero,3.9
Team Fortress 2,3.6
Half-Life 2: Update,2.9
Borderlands 2 RU,2.6
Bio Inc. Redemption,2.1
Universe Sandbox,2.1
Bridge Constructor Portal,1.4
Lambda Wars Beta,1.0
Counter-Strike,0.5
Half-Life,0.5
Evolution,0.5
Dota 2,0.4
Endless Space¢ç - Definitive Edition,0.4
Codename CURE,0.4
Half-Life: Source,0.3
DOOM 3,0.2
Feesh,0.1
Source Filmmaker,0.1
TIS-100,0.1

Recently Played
Oxygen Not Included,17.7

Badges,Games,Inventory,Screenshots,Friends,Wishlist
12,47,?,1,3,6
