GameName,Id:76561198265090143
Counter-Strike: Global Offensive,545
Rust,134
Tom Clancy's Rainbow Six Siege,76
Scrap Mechanic,73
PLAYERUNKNOWN'S BATTLEGROUNDS,53
Call of Duty: Black Ops III,37
PAYDAY 2,25
Unturned,22
Dishonored 2,19.6
Dota 2,13.9
Witch It,11.3
Deceit,10.7
Dishonored,7.8
APB Reloaded,7.1
DARK SOULS¢â III,6.6
Burnout Paradise: The Ultimate Box,5.2
Dead by Daylight,5.0
Ring of Elysium,4.6
Warframe,4.6
Realm Royale,4.3
Slime Rancher,4.1
Team Fortress 2,3.7
Killing Floor 2,3.6
Creativerse,3.2
Transformice,2.9
Battleborn,2.8
Business Tour - Online Multiplayer Board Game,2.6
Dirty Bomb,2.3
Destiny 2,1.8
Paladins,1.7
Last Man Standing,1.6
World of Tanks Blitz,1.6
Trove,1.4
Tom Clancy's Ghost Recon Phantoms - EU,1.4
CRSED,1.2
Quake Champions,1.1
High Octane Drift,0.9
Mitos.is: The Game,0.8
Z1 Battle Royale,0.8
Warface,0.4
Tribes: Ascend,0.4
Darwin Project,0.3
Gigantic,0.3
School of Dragons: How to Train Your Dragon,0.3
EVE Online,0.3
Orcs Must Die! Unchained,0.3
Zula Europe,0.2
Metin2,0.2
Dota Underlords,0.2
SMITE,0.2
Worm.is: The Game,0.2
Block N Load,0.1

Badges,Games,Inventory,WorkshopWorkshop ItemsItems,Groups,Friends,Wishlist
11,29,?,1,5,130,0
