GameName,Id:76561198264980949
Dota 2,1017
Stronghold Crusader 2,152
Shakes and Fidget,126
Counter-Strike: Global Offensive,92
Block N Load,82
Garry's Mod,47
Euro Truck Simulator 2,44
S.K.I.L.L. - Special Force 2,36
Clicker Heroes,33
Rocket League,32
The Escapists 2,32
Raft,27
Cities: Skylines,25
ARK: Survival Evolved,25
Crusader Kings II,22
Governor of Poker 3,21
Stick Fight: The Game,18.7
PLAYERUNKNOWN'S BATTLEGROUNDS,18.3
ISLANDERS,14.3
Among Us,13.5
RISK: Global Domination,11.6
Just Cause 2: Multiplayer Mod,11.3
They Are Billions,9.7
Just Cause 2,9.7
Conqueror's Blade,8.6
Tom Clancy's Rainbow Six Siege,8.5
UNO,5.9
Shieldwall,5.8
F1 2016,4.6
theHunter Classic,4.3
Unturned,4.1
Handball 16,3.6
Portal 2,2.6
Yu-Gi-Oh! Duel Links,2.2
Pool 2D - Poolians,1.6
Poker Legends: Tournaments,0.3
scram,0.2

Recently Played
Clicker Heroes,33.3
Among Us,0.7

Badges,Games,Inventory,Groups,Friends,Wishlist
2,23,?,2,17,0
