GameName,Id:76561198252408370
Counter-Strike: Global Offensive,2303
Discord Bot Maker,80
Rust,75
VRChat,25
Euro Truck Simulator 2,19.5
Unturned,12.8
Sid Meier's Civilization: Beyond Earth,3.1
Shakes and Fidget,3.1
SCP: Secret Laboratory,2.7
No More Room in Hell,2.5
Doki Doki Literature Club,2.4
Trove,2.0
Brawlhalla,1.6
Easy eSports,1.5
KurtzPel,0.6
Wet Girl,0.5
Toilet Simulator,0.3
Team Fortress 2,0.3
SoulWorker,0.2

Recently Played
Counter-Strike: Global Offensive,46.6
Discord Bot Maker,8.4

Badges,Games,Inventory,Screenshots,Videos,Reviews,Artwork,Groups,Friends,Wishlist
7,11,?,8,1,1,16,23,229,3
