GameName,Id:76561198265004642
Counter-Strike: Global Offensive,207
Far Cry 4,48
Scrap Mechanic,45
Rust,39
Halo: The Master Chief Collection,32
Grand Theft Auto V,26
Far Cry 5,25
ASTRONEER,21
Left 4 Dead 2,17.4
Unturned,15.6
Geometry Dash,13.5
Destiny 2,11.0
Team Fortress 2,8.5
Realm Royale,8.1
Worms Revolution,4.4
Clicker Heroes,2.7
theHunter: Call of the Wild¢â,2.2
PAYDAY 2,1.4
For Honor,0.8
Dota 2,0.7
Supreme Commander: Forged Alliance,0.3
Supreme Commander 2,0.3

Recently Played
Halo: The Master Chief Collection,4.9
Supreme Commander 2,0.3

Badges,Games,Inventory,Friends,Wishlist
3,18,?,18,1
