GameName,Id:76561198265003850
Team Fortress 2,3074
Counter-Strike: Global Offensive,1241
Terraria,751
Unturned,499
tModLoader,66
KovaaK 2.0,44
Starbound,30
Among Us,23
Saints Row: The Third,23
Brawlhalla,22
Portal 2,21
Z1 Battle Royale,16.3
Don't Starve Together,14.9
Left 4 Dead 2,14.1
Aim Lab,4.5
Tom Clancy's Rainbow Six Siege,4.0
Foul Play,4.0
Rust,2.6
Realm Royale,2.4
Heroes & Generals,1.9
Wallpaper Engine,1.9
Paladins,1.5
SCP: Secret Laboratory,0.7
Radical Heights,0.4
Survarium,0.3
Insurgency,0.2
VRChat,0.1

Recently Played
Among Us,0.2
Wallpaper Engine,0.2
KovaaK 2.0,2.8
Aim Lab,0.0

Badges,Games,Inventory,Screenshots,Reviews,Groups,Friends,Wishlist
8,21,?,5,2,22,23,0
