GameName,Id:76561198252526354
Team Fortress 2,609
Borderlands 2,176
Fallout: New Vegas,110
Grand Theft Auto V,82
The Witcher 3: Wild Hunt,77
Counter-Strike: Global Offensive,55
Neverwinter,38
Borderlands GOTY,37
Fallout 3 - Game of the Year Edition,34
The Witcher 2: Assassins of Kings Enhanced Edition,28
Grim Dawn,26
Dead Cells,23
Don't Starve Together,21
Strife,13.5
Warframe,8.1
Metro 2033 Redux,6.8
Wallpaper Engine,5.4
Portal Knights,4.1
Portal 2,4.0
The Witcher: Enhanced Edition,2.9
Fiesta Online NA,2.7
Serious Sam HD: The First Encounter,2.5
Unturned,1.8
Dota 2,1.7
SpellForce: Platinum Edition,1.4
GWENT: The Witcher Card Game,1.3
Life is Strange¢â,1.2
Bloons TD Battles,1.2
Guardians of Orion (Phase 1),1.0
Super Monday Night Combat,0.9
Relic Hunters Zero,0.8
ORION: Prelude,0.7
HAWKEN,0.7
VRChat,0.5
Creativerse,0.2
Champions Online,0.1
Fistful of Frags,0.1

Recently Played
Wallpaper Engine,1.7
Portal 2,0.5
Borderlands 2,0.2

Badges,Games,Inventory,Screenshots,Videos,Reviews,Groups,Friends,Wishlist
7,30,?,194,2,14,5,19,56
