GameName,Id:76561198252526782
Counter-Strike: Global Offensive,336
Borderlands 2 RU,38
Call of Duty: Modern Warfare 2 - Multiplayer,29
Dead Island,27
The Elder Scrolls V: Skyrim,14.9
Call of Duty: Modern Warfare 2,7.6
Paladins,6.8
Borderlands 2,6.2
Dead Island Riptide,5.9
Borderlands GOTY,5.9
Killing Floor,5.3
Left 4 Dead 2,4.2
Counter-Strike: Source,3.9
Unturned,3.2
The Witcher 2: Assassins of Kings Enhanced Edition,2.7
Evolve Stage 2,2.5
Left 4 Dead,2.4
Counter-Strike,1.5
Saints Row: The Third,1.5
Black Squad,1.3
Heroes & Generals,1.2
Homefront,1.1
Battlefield: Bad Company¢â 2,1.1
Medal of Honor(TM) Multiplayer,0.9
Z1 Battle Royale,0.9
Metro: Last Light,0.8
Garry's Mod,0.6
Red Faction: Guerrilla Steam Edition,0.6
Fallout 3,0.5
Fishing Planet,0.5
Red Faction: Armageddon,0.4
Thief,0.4
Medal of Honor(TM) Single Player,0.4
Dirty Bomb,0.3
Resident Evil 7 Teaser: Beginning Hour,0.3
Spec Ops: The Line,0.2

Recently Played

Badges,Games,Inventory,Screenshots,Reviews,Groups,Friends,Wishlist
4,47,?,5,1,2,9,2
