GameName,Id:76561198252526832
PLAYERUNKNOWN'S BATTLEGROUNDS,30
Armikrog,26
Counter-Strike: Global Offensive,20
Borderlands 2,16.0
Ring of Elysium,7.8
Destiny 2,7.4
Unturned,4.9
HITMAN¢â 2,3.4
Stick Fight: The Game,2.9
A Story About My Uncle,2.3
PAYDAY 2,2.2
METAL GEAR SOLID V: THE PHANTOM PAIN,2.0
Borderlands GOTY,1.8
The Escapists 2,1.7
Aim Lab,1.7
Splitgate: Arena Warfare,1.3
Wallpaper Engine,0.9
War Thunder,0.8
Saints Row 2,0.4
LawBreakers,0.3
Hollow Knight,0.3

Recently Played
PAYDAY 2,2.2
Aim Lab,0.5
Wallpaper Engine,0.9
METAL GEAR SOLID V: THE PHANTOM PAIN,2.0
HITMAN¢â 2,0.1

Badges,Games,Inventory,Reviews,Friends,Wishlist
5,49,?,1,23,14
