GameName,Id:76561198265015724
Fall Guys: Ultimate Knockout,108
Scrap Mechanic,63
Among Us,32
Geometry Dash,23
Euro Truck Simulator 2,17.4
The LEGO¢ç Movie - Videogame,16.5
LEGO¢ç Jurassic World,14.8
Clicker Heroes,13.8
Tube Tycoon,10.2
Youtubers Life,4.6
Robocraft,4.4
Counter-Strike: Global Offensive,4.0
Rec Room,3.9
LEGO¢ç City Undercover,1.9
Unturned,0.8
Time Clickers,0.6
Bus Simulator 16,0.4
CreativeDestruction,0.4
Realm Grinder,0.3
Business Tour - Online Multiplayer Board Game,0.2

Recently Played
Among Us,2.4
Fall Guys: Ultimate Knockout,0.4
Tube Tycoon,0.0
Euro Truck Simulator 2,0.6

Badges,Games,Inventory,Screenshots,Videos,Groups,Friends,Wishlist
6,14,?,9,71,6,9,5
