GameName,Id:76561198264997857
Counter-Strike: Global Offensive,1012
Warframe,772
Shakes and Fidget,408
TERA,285
Soundpad,280
Wallpaper Engine,216
Dead by Daylight,214
Rocket League,176
PLAYERUNKNOWN'S BATTLEGROUNDS,153
ARK: Survival Evolved,110
Tom Clancy's Rainbow Six Siege,93
Beat Saber,86
Space Engineers,51
Among Us,47
Dying Light,39
Neverwinter,36
Garry's Mod,30
Paladins,30
Borderlands 2,26
Bloons TD 6,24
Creativerse,21
Left 4 Dead 2,18.1
Little Big Workshop,18.1
Conqueror's Blade,17.1
Dead Cells,15.4
Portal 2,14.9
Pummel Party,13.7
Stick Fight: The Game,10.7
Never Split the Party,9.2
Human: Fall Flat,8.6
Ultimate Chicken Horse,8.6
Brawlhalla,7.8
BONEWORKS,7.6
Business Tour - Online Multiplayer Board Game,7.0
BattleBlock Theater,6.4
A Way Out,5.6
Overcooked! 2,5.3
Phasmophobia,4.6
SpeedRunners,4.3
Spellsworn,3.7
Ludo Online,3.1
Generation Zero¢ç,3.1
Trove,3.0
SMITE,2.5
Catan Universe,2.5
Portal,2.3
Golf With Your Friends,2.0
Darwin Project,1.7
We Were Here Together,0.8
Easy eSports,0.6
SCP: Secret Laboratory,0.5
Castle Crashers,0.5
Ring of Elysium,0.4
Aim Lab,0.4
Crowd Control,0.3
Strange Brigade,0.2
Of Guards And Thieves,0.2

Recently Played
Counter-Strike: Global Offensive,0.6
Among Us,3.8
A Way Out,5.6
Rocket League,10.6
Beat Saber,1.1
Soundpad,0.0
The Jackbox Party Pack 7,0.1
Golf With Your Friends,0.5
Tom Clancy's Rainbow Six Siege,0.1

Badges,Games,Inventory,Screenshots,Reviews,Artwork,Groups,Friends,Wishlist
5,61,?,1,1,2,5,75,1
