GameName,Id:76561198264999602
Counter-Strike: Global Offensive,430
Tom Clancy's Rainbow Six Siege,60
Blood Bowl 2,28
Rocket League,19.8
eFootball PES 2020,11.2
Resident Evil 6,8.5
Ironsight,6.8
Warframe,4.7
Marvel Heroes Omega,4.4
Left 4 Dead 2,1.7
Brawlhalla,1.7
Riders of Icarus,1.5
Path of Exile,1.3
Terraria,1.3
PAYDAY 2,1.2
SMITE,0.9
Total War: SHOGUN 2,0.6
APB Reloaded,0.6
Team Fortress 2,0.5
Heroes & Generals,0.5
Neverwinter,0.3
ArcheAge,0.2
Z1 Battle Royale,0.2
Dirty Bomb,0.2
Magic Duels,0.2
Tomb Raider,0.2

Recently Played
Total War: SHOGUN 2,0.6
Blood Bowl 2,5.3

Badges,Games,Inventory,Groups,Friends,Wishlist
2,17,?,1,56,0
