GameName,Id:76561198252527630
Counter-Strike: Global Offensive,203
tModLoader,27
Apex Legends,20
Battlerite,4.9
Terraria,0.4

Recently Played
Apex Legends,20.2

Badges,Games,Inventory,Friends,Wishlist
2,2,?,17,0
