GameName,Id:76561198252527608
Dota Underlords,133
Dota 2,100
Counter-Strike: Global Offensive,52
Left 4 Dead 2,11.3
Dead Island,3.9
Unturned,2.5
PAYDAY 2,1.8
Dead Island Riptide,0.3
Team Fortress 2,0.2

Badges,Games,Inventory,Friends,Wishlist
1,5,?,8,0
