GameName,Id:76561198252527774
World of Warships,708
Stellaris,18.6
Fall Guys: Ultimate Knockout,12.0
Wallpaper Engine,0.3
Dota 2,0.1

Recently Played
Fall Guys: Ultimate Knockout,7.4

Badges,Games,Inventory,Reviews,Wishlist
4,5,?,1,2
