GameName,Id:76561198265011843
Counter-Strike: Global Offensive,2077
PLAYERUNKNOWN'S BATTLEGROUNDS,32
Sniper Ghost Warrior 2,8.9
Counter-Strike,6.9
Knight Online,4.8
Business Tour - Online Multiplayer Board Game,2.2
Enemy Front,1.1
Warface,0.7
Counter-Strike: Condition Zero Deleted Scenes,0.6
Fall Guys: Ultimate Knockout,0.5
Ghost in the Shell: Stand Alone Complex - First Assault Online,0.4
Argo,0.3
World of Tanks Blitz,0.1

Recently Played
Counter-Strike: Global Offensive,21.5

Badges,Games,Inventory,Groups,Friends,Wishlist
4,10,?,3,295,0
