GameName,Id:76561198265096840
Counter-Strike: Global Offensive,492
Warframe,148
Dota 2,129
The Elder Scrolls V: Skyrim Special Edition,127
DARK SOULS¢â II,71
Project CARS,36
Far Cry¢ç 3,22
Paladins,15.0
Assetto Corsa,12.1
PLAYERUNKNOWN'S BATTLEGROUNDS,10.2
Tom Clancy's Rainbow Six Siege,9.3
EVE Online,5.5
The Witcher 3: Wild Hunt,4.8
Unturned,2.5
Tom Clancy's Ghost Recon Phantoms - NA,1.5
Evolve Stage 2,0.6

Badges,Games,Inventory,Screenshots,Videos,Reviews,Groups,Friends,Wishlist
6,13,?,1,1,2,1,1,0
