GameName,Id:76561198265080990
Tom Clancy's Rainbow Six Siege,735
PLAYERUNKNOWN'S BATTLEGROUNDS,311
Rocket League,153
Left 4 Dead 2,77
Dead by Daylight,48
7 Days to Die,42
DARK SOULS¢â III,39
Dying Light,35
Battlefield: Bad Company¢â 2,24
Killing Floor 2,19.7
Rise of the Tomb Raider,15.6
Project CARS,12.6
Portal 2,9.2
Hellblade: Senua's Sacrifice,9.0
Cuphead,8.3
Halo: The Master Chief Collection,8.2
The Witcher 3: Wild Hunt,7.5
INSIDE,6.0
Rising Storm 2: Vietnam,4.7
Dishonored,4.7
Layers of Fear,4.3
Hunt: Showdown,4.2
Borderlands 2,3.9
Super Meat Boy,3.6
Warframe,3.2
Little Nightmares,2.7
Metro: Last Light Redux,2.7
Stick Fight: The Game,2.4
Resident Evil Revelations 2,2.3
Road Redemption,2.2
The Long Dark,2.2
Middle-earth¢â: Shadow of Mordor¢â,2.1
Mad Max,2.1
Resident Evil 4,2.1
Unfortunate Spacemen,2.0
Wallpaper Engine,1.8
DayZ,1.6
Max Payne 3,1.5
Dead Space 2,1.4
Fall Guys: Ultimate Knockout,1.1
Life is Strange¢â,1.0
Just Cause 3,1.0
SpeedRunners,0.8
Don't Starve Together,0.7
S.T.A.L.K.E.R.: Shadow of Chernobyl,0.7
Hollow Knight,0.6
Call of Duty: Black Ops III,0.5
SAS: Zombie Assault 4,0.4

Recently Played
Tom Clancy's Rainbow Six Siege,5.4

Badges,Games,Inventory,Friends,Wishlist
5,57,?,16,3
