GameName,Id:76561198265068307
Euro Truck Simulator 2,238
Farming Simulator 19,179
Counter-Strike: Global Offensive,77
SpedV,70
House Flipper,63
Construction-Simulator 2015,39
Another Brick in The Mall,27
Soundpad,25
PC Building Simulator,24
The Forest,23
Gold Rush: The Game,17.8
Spintires¢ç,17.4
Car Mechanic Simulator 2018,17.1
Bloons TD 6,16.6
Tourist Bus Simulator,14.6
Among Us,13.3
Autobahn Police Simulator,13.2
Green Hell,9.5
Youtubers Life,7.4
Autobahn Police Simulator 2,5.5
Monopoly Plus,4.8
Farmer's Dynasty,4.8
Demolish & Build 2018,4.5
Need for Speed¢â Most Wanted,4.3
Raft,3.2
Wallpaper Engine,0.3
Unturned,0.2

Recently Played
Soundpad,24.9
Counter-Strike: Global Offensive,12.0
Bloons TD 6,16.2
Source SDK Base 2007,0.5
Farming Simulator 19,27.1
Autobahn Police Simulator 2,0.5

Badges,Games,Inventory,Groups,Friends,Wishlist
4,29,?,1,26,1
