GameName,Id:76561198252413882
PLAYERUNKNOWN'S BATTLEGROUNDS,634
NBA 2K16,343
NBA 2K17,226
Z1 Battle Royale,171
Counter-Strike: Global Offensive,117
PAYDAY 2,88
Dota 2,86
FreeStyle 2: Street Basketball,73
NBA 2K19,52
NBA 2K18,36
The Forest,26
Dead Rising 3,18.0
Left 4 Dead 2,13.5
Just Survive,12.9
ARK: Survival Evolved,9.1
Grand Theft Auto V,7.9
Warframe,7.2
Pummel Party,5.4
Ryse: Son of Rome,3.9
Counter-Strike Nexon: Studio,2.3
Life is Strange™,2.2
TERA,2.0
No More Room in Hell,1.2
Dead by Daylight,0.8
theHunter Classic,0.8
Aftermath,0.7
Wallpaper Engine,0.6
Team Fortress 2,0.5

Badges,Games,Inventory,Groups,Friends,Wishlist
3,24,?,1,17,0
