GameName,Id:76561198264971196
Dead by Daylight,314
Stronghold Crusader 2,78
Unturned,56
Hollow Knight,29
Kingdom Two Crowns,19.3
Deceit,15.9
The Forest,15.4
Evil Genius,13.6
Realm of the Mad God Exalt,7.5
Friday the 13th: Killer Puzzle,5.0
7 Days to Die,4.4
Empires Apart,1.4
Village Feud,1.1
Trove,0.3
Friday the 13th: The Game,0.1

Recently Played
Age of Empires III: Definitive Edition,1.0
Stronghold Crusader 2,0.1
Dead by Daylight,1.5

Badges,Games,Inventory,Screenshots,Reviews,Groups,Friends,Wishlist
7,12,?,2,3,1,13,22
