GameName,Id:76561198252523024
Tom Clancy's Rainbow Six Siege,420
Paladins,300
Grand Theft Auto V,224
Brawlhalla,143
Stick Fight: The Game,15.7
Among Us,11.3
Left 4 Dead 2,10.0
Counter-Strike: Global Offensive,8.9
Tomb Raider,8.4
Tom Clancy's Rainbow Six Siege - Test Server,6.2
Realm Royale,6.1
Apex Legends,4.5
RISK: Global Domination,3.8
Wallpaper Engine,1.6
Unfortunate Spacemen,1.5
Deceit,1.4
Team Fortress 2,1.3
Destiny 2,1.1
Unturned,1.0
War Thunder,1.0
Darwin Project,0.9
GOAT OF DUTY,0.8
Hide and Shriek,0.6
Spiral Knights,0.5
PWND,0.4
Aim Lab,0.4
Heroes & Generals,0.4
Paunch,0.3
Scribble It!,0.2
Broken Ground,0.2
Wrecked,0.1

Recently Played
Grand Theft Auto V,14.3
Brawlhalla,4.6
Counter-Strike: Global Offensive,0.9
Apex Legends,4.5
Among Us,0.9
Paladins,6.4
Tom Clancy's Rainbow Six Siege,11.0
Wallpaper Engine,0.9
Left 4 Dead 2,8.3

Badges,Games,Inventory,Groups,Wishlist
3,13,?,1,0
