GameName,Id:76561198265028863
Counter-Strike: Global Offensive,1039
Rocket League,235
PLAYERUNKNOWN'S BATTLEGROUNDS,182
Rust,124
Tom Clancy's Rainbow Six Siege,98
Z1 Battle Royale,95
Among Us,19.6
Fall Guys: Ultimate Knockout,14.1
Aim Lab,11.1
UNO,6.7
Team Fortress 2,4.7
Golf With Your Friends,3.7
Grand Theft Auto V,2.7
Last Man Standing,1.8
Realm Royale - Test Server,1.0
Garry's Mod,0.9

Recently Played
Aim Lab,7.2
Grand Theft Auto V,2.7

Badges,Games,Inventory,Screenshots,Groups,Friends,Wishlist
3,15,?,9,18,128,0
