GameName,Id:76561198265009126
Counter-Strike: Global Offensive,1778
Rust,544
PLAYERUNKNOWN'S BATTLEGROUNDS,464
Red Dead Redemption 2,335
Tom Clancy's Rainbow Six Siege,259
Far Cry 4,134
Sea of Thieves,125
Dying Light,77
Dead by Daylight,75
The Forest,42
S.T.A.L.K.E.R.: Call of Pripyat,38
Watch_Dogs 2,37
Unturned,37
S.T.A.L.K.E.R.: Shadow of Chernobyl,31
Just Cause 3,29
Dota 2,22
Euro Truck Simulator 2,20
The Witcher 2: Assassins of Kings Enhanced Edition,19.9
DayZ,18.4
Garry's Mod,14.2
Warframe,11.8
Worms Revolution,11.6
Spintires¢ç,9.0
The Witcher: Enhanced Edition,8.6
Counter-Strike,7.9
Depth,6.5
For Honor,4.8
Saints Row: The Third,3.9
S.T.A.L.K.E.R.: Clear Sky,3.6
Sid Meier's Civilization V,3.4
Heroes & Generals,3.2
Wallpaper Engine,3.0
The Elder Scrolls V: Skyrim,1.8
Team Fortress 2,1.5
War Thunder,1.3
SCP: Secret Laboratory,1.1
Enter the Gungeon,0.8
Rust - Staging Branch,0.7
Move or Die,0.6
Survarium,0.3
7 Days to Die,0.2

Recently Played
Red Dead Redemption 2,16.7
Spacewar,0.9
Rust,2.4
Sid Meier's Civilization V,0.6
The Witcher 3: Wild Hunt,0.0
Counter-Strike: Global Offensive,1.1

Badges,Games,Inventory,Screenshots,Reviews,Groups,Wishlist
9,49,?,1,1,5,3
