GameName,Id:76561198265024190
PLAYERUNKNOWN'S BATTLEGROUNDS,90
Fallout 4,67
The Elder Scrolls: Legends,52
The Elder Scrolls V: Skyrim,44
Stellaris,38
HITMAN¢â,30
Bridge Constructor Portal,28
The Elder Scrolls V: Skyrim Special Edition,26
Factorio,23
Totally Accurate Battle Simulator,23
STAR WARS¢â: Knights of the Old Republic¢â,21
Kerbal Space Program,21
Tomb Raider,16.6
Dying Light,14.3
Cities: Skylines,13.3
Fallout: New Vegas,12.1
Portal 2,9.9
The Elder Scrolls III: Morrowind,9.5
Grand Theft Auto V,8.6
Besiege,7.0
The Elder Scrolls IV: Oblivion ,6.1
The Jackbox Party Pack 2,3.3
War Thunder,3.1
Invisible  Inc.,3.1
Poly Bridge,3.0
SUPERHOT,2.9
Portal,2.8
Defense Grid 2,1.6
Batman: Arkham Asylum GOTY Edition,1.5
Drawful 2,1.3
Wolfenstein: The New Order,1.0
Artifact,0.9
Split or Steal,0.8
Stardew Valley,0.7
Bridge Constructor,0.7
Total War: SHOGUN 2,0.5
World of Goo,0.4
Garry's Mod,0.3
Super Crate Box,0.2
SNOW,0.2
Grow Home,0.2
LIMBO,0.1
Team Fortress 2,0.1

Badges,Games,Inventory,Wishlist
2,128,?,11
