GameName,Id:76561198252568238
Counter-Strike: Global Offensive,899
PLAYERUNKNOWN'S BATTLEGROUNDS,388
Tom Clancy's Rainbow Six Siege,186
Rocket League,102
Black Desert,54
Hurtworld,43
The Crew 2,42
Ring of Elysium,31
Just Survive,21
Rust,18.1
Z1 Battle Royale,13.2
Just Cause 2,12.0
Business Tour - Online Multiplayer Board Game,10.4
The Forest,7.0
Sea of Thieves,6.4
Metin2,5.7
Battlerite,4.9
Phasmophobia,4.1
Grand Theft Auto V,2.8
For Honor,2.0
World of Warplanes,1.7
Robocraft,1.7
How to Survive 2,1.4
Darwin Project,0.9
ARK: Survival Evolved,0.5
World of Tanks Blitz,0.3
Ball 3D: Soccer Online,0.3

Recently Played
Rocket League,1.3
Rust,1.4

Badges,Games,Inventory,Screenshots,Groups,Friends,Wishlist
5,31,?,24,13,136,5
