GameName,Id:76561198265110023
Counter-Strike: Global Offensive,582
Terraria,169
The Elder Scrolls V: Skyrim,90
Z1 Battle Royale,30
Fall Guys: Ultimate Knockout,30
tModLoader,12.4
Mechanik Maszyn Rolniczych 2015,8.7
Cities: Skylines,8.1
LEGO¢ç STAR WARS¢â: The Force Awakens,6.6
Business Tour - Online Multiplayer Board Game,2.1
Paladins,1.9
For Honor,0.4
World of Tanks Blitz,0.4
S.K.I.L.L. - Special Force 2,0.3

Recently Played
Terraria,0.0
Counter-Strike: Global Offensive,0.6

Badges,Games,Inventory,Groups,Friends,Wishlist
4,12,?,1,48,0
