GameName,Id:76561198265085835
Counter-Strike: Global Offensive,1630
Terraria,1257
Clicker Heroes,150
Soccer Manager 2019,72
Bully: Scholarship Edition,47
Among Us,41
Yu-Gi-Oh! Duel Links,37
tModLoader,32
Rocket League,27
AdVenture Capitalist,14.7
War Trigger 3,13.2
Soccer Manager 2018,11.6
Portal 2,6.2
Business Tour - Online Multiplayer Board Game,5.5
Cell to Singularity - Evolution Never Ends,5.0
Portal,3.4
SMITE,3.4
For Honor,2.4
Warhammer 40 000: Space Marine,1.4
Manual Samuel - Anniversary Edition,1.4
Psychonauts,1.4
Soccer Manager 2017,1.4
Shadow Warrior,1.3
Orwell,1.2
Cortex Command,1.2
Ashes of the Singularity: Escalation,1.2
Aim Lab,1.2
Brawlhalla,1.2
Outlast,1.1
RISK: Global Domination,1.1
Hacknet,1.1
Shadowrun Returns,1.1
ESEA,1.0
Crusader Kings II,1.0
GRID 2,0.9
VRChat,0.9
AdVenture Communist,0.6
Emily is Away,0.3

Recently Played
Counter-Strike: Global Offensive,24.6
Among Us,0.6

ProfileProfile AwardsAwards,Badges,Games,Inventory,Screenshots,Videos,Reviews,Groups,Friends,Wishlist
1,16,67,?,8,1,2,80,145,1
