GameName,Id:76561198252407102
Borderlands 2,116
DARK SOULS™ II: Scholar of the First Sin,70
The Witness,53
Divinity: Original Sin Enhanced Edition,50
Darkest Dungeon®,45
Middle-earth™: Shadow of Mordor™,39
Borderlands GOTY,33
Styx: Master of Shadows,29
Sonic Generations,28
Dishonored,25
Prey,24
Divinity II: Developer's Cut,24
Celeste,23
The Incredible Adventures of Van Helsing,20
Dust: An Elysian Tail,20
Freedom Planet,18.8
Brütal Legend,18.4
Iconoclasts,17.7
Chaos Reborn,17.1
Dota 2,16.6
Dishonored 2,16.0
DOOM,15.7
Death's Gambit,15.5
STAR WARS™: The Force Unleashed™ Ultimate Sith Edition,15.2
FEZ,15.2
Ori and the Blind Forest,14.6
Disco Elysium,14.3
The Incredible Adventures of Van Helsing II,13.6
The Way,13.0
Sanctum,12.8
DARK SOULS™: Prepare To Die Edition,12.7
Star Wars: Battlefront 2 (Classic  2005),12.4
Night in the Woods,12.1
Prototype,11.8
Undertale,11.4
Into the Breach,11.4
Baba Is You,10.8
Invisible  Inc.,10.8
Transistor,10.7
Owlboy,10.7
Hard Reset,10.6
Cuphead,10.4
Catherine Classic,10.3
Evolve Stage 2,10.2
Skullgirls,9.7
Left 4 Dead 2,9.4
Magic Duels,9.3
Monster Slayers,9.3
Braid,8.5
Yoku's Island Express,8.5
Hellblade: Senua's Sacrifice,8.0
Call of Juarez Gunslinger,7.9
Stories: The Path of Destinies,7.9
Plants vs. Zombies: Game of the Year,7.4
Sunset Overdrive,7.4
Portal 2,6.9
Never Alone (Kisima Ingitchuna),6.8
Borderlands: The Pre-Sequel,6.8
OneShot,6.5
Tadpole Treble,6.3
Dead Cells,6.3
Firewatch,6.3
Geometry Dash,6.2
INMOST,6.0
Fable Anniversary,6.0
Life is Strange™,5.8
Rivals of Aether,5.7
Risk of Rain 2,5.7
ICEY,5.5
To the Moon,5.5
Sumeru,5.5
Hard West,5.4
Dying Light,5.4
Rakuen,5.4
A Story About My Uncle,5.3
Portal,5.2
Pyre,5.1
LIMBO,4.4
Hollow Knight,3.9
The End Is Nigh,3.9
Bayonetta,3.9
No Man's Sky,3.7
Ori and the Will of the Wisps,3.7
Two Worlds: Epic Edition,3.7
Dead Man's Draw,3.7
ABZÛ,3.7
Getting Over It with Bennett Foddy,3.6
JumpJet Rex,3.4
Baldur's Gate: Enhanced Edition,3.1
Devotion,3.1
We Happy Few,3.0
DeadCore,3.0
Sonic & All-Stars Racing Transformed Collection,2.9
Frederic: Resurrection of Music Director's Cut,2.9
Draw Puzzle,2.8
Sonic Lost World,2.8
OlliOlli,2.8
Crypt of the NecroDancer,2.7
DEAD OR ALIVE Xtreme Venus Vacation,2.6
Tormentum - Dark Sorrow,2.6
Return of the Obra Dinn,2.5
Quantum Break,2.5
Frederic: Evil Strikes Back,2.5
DmC Devil May Cry,2.5
The Crown of Leaves,2.4
The Stanley Parable,2.4
Stardew Valley,2.4
Sayonara Wild Hearts,2.4
Iggy's Egg Adventure,2.3
Wonder Boy: The Dragon's Trap,2.2
Plague Inc: Evolved,2.2
The Awesome Adventures of Captain Spirit,2.2
Yooka-Laylee,2.2
Gigantic,2.2
The Technomancer,2.1
Soundodger+,2.0
Furi,2.0
Injustice: Gods Among Us Ultimate Edition,2.0
What Remains of Edith Finch,2.0
Replica,2.0
The Bridge,2.0
Shio,2.0
Killer Instinct,1.9
BELOW,1.9
20XX,1.8
Brawlhalla,1.8
Nekojishi,1.7
ENSLAVED™: Odyssey to the West™ Premium Edition,1.7
E.Y.E: Divine Cybermancy,1.7
Sonic Adventure DX,1.6
Yooka-Laylee - Toybox,1.6
Beholder,1.6
Bastion,1.6
Jotun: Valhalla Edition,1.6
Changed,1.6
Struggling,1.5
Another World,1.5
Shadowrun Returns,1.4
Pillars of Eternity,1.4
BLACKHOLE,1.4
Gorogoa,1.4
Dragon Age: Origins,1.3
FINAL FANTASY VII,1.3
DUSK,1.3
FINAL FANTASY X/X-2 HD Remaster,1.3
Letter Quest: Grimm's Journey Remastered,1.2
LUMINES REMASTERED,1.2
STAR WARS™ Battlefront (Classic  2004),1.2
Sunless Sea,1.2
S.T.A.L.K.E.R.: Shadow of Chernobyl,1.2
Super Hexagon,1.1
Wolfenstein: The Old Blood ,1.1
Slain: Back from Hell,1.1
Wallpaper Engine,1.1
Battle Chef Brigade,1.1
The Witcher 2: Assassins of Kings Enhanced Edition,1.1
Divine Divinity,1.1
Gods Will Be Watching,1.1
Downwell,1.1
Anarcute,1.0
Starbound,1.0
The Banner Saga,1.0
8-Bit Bayonetta,1.0
Darksiders,1.0
Stories Untold,1.0
BioShock Remastered,1.0
Awesomenauts,1.0
The Witcher: Enhanced Edition,1.0
Stellaris,1.0
Thief,1.0
Red Faction: Guerrilla Steam Edition,0.9
Hyper Light Drifter,0.9
CrossCode,0.9
VA-11 Hall-A: Cyberpunk Bartender Action,0.9
Spelunky,0.8
Deus Ex: Game of the Year Edition,0.8
Year Walk,0.8
Dead Space,0.8
1001 Spikes,0.8
Shovel Knight: Treasure Trove,0.7
2064: Read Only Memories,0.7
System Shock: Enhanced Edition,0.7
Avernum: Escape From the Pit,0.7
Hand of Fate,0.7
The Binding of Isaac: Rebirth,0.7
Terraria,0.7
Wenjia,0.7
Major\Minor - Complete Edition,0.7
The Silent Age,0.7
Outlast,0.7
Rain World,0.7
Valiant Hearts: The Great War™ / Soldats Inconnus : Mémoires de la Grande Guerre™,0.6
The Incredible Adventures of Van Helsing III,0.6
Resident Evil 2 "1-Shot Demo",0.6
Shiness: The Lightning Kingdom,0.6
Tomb Raider,0.6
Sonic CD,0.6
Thief Gold,0.6
Beatbuddy: Tale of the Guardians,0.5
Enter the Gungeon,0.5
Devil Daggers,0.5
