GameName,Id:76561198252517118
Rust,8282
ARK: Survival Evolved,895
Counter-Strike: Global Offensive,462
Clicker Heroes,228
Tom Clancy's Rainbow Six Siege,42
Call of Duty: Black Ops III,30
Raft,21
Last Man Standing,17.1
Garry's Mod,10.0
Don't Starve,7.7
Unturned,4.6
Don't Starve Together,4.2
Galactic Junk League,2.9
Z1 Battle Royale,2.4
Realm of the Mad God Exalt,1.8
Cyber Hunter,1.7
WARMODE,1.5
Rec Room,0.9
Realm Royale,0.6
Brawlhalla,0.5
Team Fortress 2,0.2

Recently Played
Rust,120.5

Badges,Games,Inventory,Screenshots,Reviews,Groups,Friends,Wishlist
3,18,?,36,1,19,236,0
