GameName,Id:76561198265114495
Counter-Strike: Global Offensive,1553
Z1 Battle Royale,244
Far Cry 4,40
Unturned,12.3
Grand Theft Auto V,9.8
Far Cry 5,6.9
Outlast,3.7
Business Tour - Online Multiplayer Board Game,3.2
We Were Here,2.0
Euro Truck Simulator,1.7
GRID 2,1.7
Hurtworld,1.2
Enemy Front,0.8
BLOCKADE 3D,0.6
Sniper Ghost Warrior 2,0.5
DiRT Rally,0.5
Sunny Hillride,0.4
Survarium,0.3
Realm Royale,0.2
Life is Strange¢â,0.2
Block N Load,0.1

Badges,Games,Inventory,Reviews,Groups,Friends,Wishlist
6,19,?,3,11,42,0
