GameName,Id:76561198265076451
Anno 1404: Venice,30
Dota 2,25
The Witcher 2: Assassins of Kings Enhanced Edition,24
Age of Empires II: Definitive Edition,21
Counter-Strike: Global Offensive,16.2
Age of Empires II (2013),16.1
Counter-Strike: Source,9.2
Company of Heroes ,8.9
The Witcher: Enhanced Edition,8.3
Cyberpunk 2077,5.5
Dungeons,3.5
Age of Empires¢ç III (2007),2.4
Hitman: Codename 47,1.7
World of Tanks Blitz,1.7
Command & Conquer¢â Remastered Collection,1.5
Serious Sam HD: The Second Encounter,1.4
Halo: The Master Chief Collection,0.8
Half-Life: Source,0.5
Half-Life 2: Deathmatch,0.4
STAR WARS¢â Jedi Knight: Jedi Academy¢â,0.3
Counter-Strike: Condition Zero,0.2

Recently Played
Cyberpunk 2077,3.3

Badges,Games,Inventory,Friends,Wishlist
2,68,?,5,6
