GameName,Id:76561198265077118
Counter-Strike: Global Offensive,1974
Citadel: Forged With Fire,189
Conan Exiles,68
Warface,35
Business Tour - Online Multiplayer Board Game,15.5
Call of Duty: Black Ops II,6.3
Unturned,1.5
Call of Duty: Black Ops,1.3
Apex Legends,1.2
Princess Remedy in a World of Hurt,0.6
European Ship Simulator,0.3
Estranged: The Departure,0.1
Kung Fury,0.1

Recently Played
Counter-Strike: Global Offensive,52.2
Citadel: Forged With Fire,39.6
Apex Legends,1.2
Spacewar,1.3

Badges,Games,Inventory,Screenshots,Reviews,Groups,Friends,Wishlist
3,13,?,42,2,9,147,23
