GameName,Id:76561198265094517
Counter-Strike: Global Offensive,220
Arma 3,140
Tom Clancy's Rainbow Six Siege,89
Football Manager 2021,54
Hearts of Iron IV,40
Total War: ATTILA,39
Europa Universalis IV,38
Football Manager 2019,34
Farming Simulator 15,31
Soundpad,22
Rust,20
Don't Starve Together,19.8
Euro Truck Simulator 2,16.0
Garry's Mod,14.5
Rocket League,13.2
Raft,11.8
Tomb Raider,10.9
Business Tour - Online Multiplayer Board Game,6.7
Mount & Blade: Warband,5.7
Serious Sam 2,5.0
Left 4 Dead 2,3.1
ASTRONEER,2.8
Black Desert,2.2
Fall Guys: Ultimate Knockout,2.0
Half-Life,1.9
The Witcher 3: Wild Hunt,1.9
Heroes & Generals,1.9
In Silence,0.6
Battlerite,0.5
Rise of the Tomb Raider,0.4
Friday the 13th: The Game,0.4
Wallpaper Engine,0.2
PAYDAY 2,0.2
DiRT 3 Complete Edition,0.1

Recently Played
Left 4 Dead 2,3.1
Garfield Kart,0.1
Rise of the Tomb Raider,0.2
Football Manager 2021,17.1
Don't Starve Together,2.2

Badges,Games,Inventory,Reviews,Groups,Friends,Wishlist
9,39,?,3,1,43,6
